Official NCBI gene id,Official NCBI gene symbol
5720,PSME1
7416,VDAC1
55847,CISD1
10174,SORBS3
25803,SPDEF
466,ATF1
6676,SPAG4
1870,E2F2
6009,RHEB
3480,IGF1R
8884,SLC5A6
2309,FOXO3
5997,RGS2
2946,GSTM2
57147,SCYL3
387,RHOA
6909,TBX2
3553,IL1B
9093,DNAJA3
427,ASAH1
23142,DCUN1D4
5898,RALA
8444,DYRK3
11232,POLG2
23365,ARHGEF12
6657,SOX2
27095,TRAPPC3
5054,SERPINE1
10732,TCFL5
1398,CRK
3108,HLA-DMA
1950,EGF
23029,RBM34
9270,ITGB1BP1
9517,SPTLC2
47,ACLY
351,APP
5889,RAD51C
25987,TSKU
8243,SMC1A
23670,TMEM2
4846,NOS3
10730,YME1L1
30,ACAA1
1452,CSNK1A1
3312,HSPA8
4776,NFATC4
891,CCNB1
6908,TBP
7466,WFS1
11182,SLC2A6
2146,EZH2
89910,UBE3B
3385,ICAM3
56654,NPDC1
501,ALDH7A1
672,BRCA1
4775,NFATC3
5710,PSMD4
5111,PCNA
5261,PHKG2
2115,ETV1
5438,POLR2I
5696,PSMB8
10765,KDM5B
25839,COG4
26993,AKAP8L
4172,MCM3
55111,PLEKHJ1
7015,TERT
8520,HAT1
10146,G3BP1
23161,SNX13
7165,TPD52L2
10298,PAK4
1802,DPH2
55011,PIH1D1
5588,PRKCQ
58533,SNX6
6461,SHB
8726,EED
10813,UTP14A
147179,WIPF2
29937,NENF
80746,TSEN2
6184,RPN1
6839,SUV39H1
9854,C2CD2L
10434,LYPLA1
329,BIRC2
2553,GABPB1
5440,POLR2K
5607,MAP2K5
2185,PTK2B
22827,PUF60
51635,DHRS7
54623,PAF1
9533,POLR1C
84159,ARID5B
5058,PAK1
8607,RUVBL1
207,AKT1
998,CDC42
3508,IGHMBP2
26054,SENP6
3315,HSPB1
84890,ADO
10682,EBP
79600,TCTN1
8573,CASK
8574,AKR7A2
5529,PPP2R5E
23378,RRP8
3909,LAMA3
5289,PIK3C3
8553,BHLHE40
9134,CCNE2
622,BDH1
9637,FEZ2
8518,IKBKAP
9467,SH3BP5
5525,PPP2R5A
6443,SGCB
58478,ENOPH1
256364,EML3
332,BIRC5
4850,CNOT4
2058,EPRS
6616,SNAP25
7849,PAX8
23210,JMJD6
868,CBLB
54733,SLC35F2
23244,PDS5A
55129,ANO10
1677,DFFB
10273,STUB1
5223,PGAM1
7043,TGFB3
572,BAD
7494,XBP1
4836,NMT1
5716,PSMD10
22841,RAB11FIP2
23647,ARFIP2
2356,FPGS
10617,STAMBP
5613,PRKX
6050,RNH1
2184,FAH
64422,ATG3
4690,NCK1
5355,PLP2
6659,SOX4
8837,CFLAR
7016,TESK1
55127,HEATR1
23335,WDR7
90861,HN1L
10270,AKAP8
10670,RRAGA
6509,SLC1A4
79071,ELOVL6
64746,ACBD3
83743,GRWD1
5366,PMAIP1
6772,STAT1
11344,TWF2
22887,FOXJ3
10013,HDAC6
51001,MTERF3
595,CCND1
26511,CHIC2
5829,PXN
7874,USP7
5257,PHKB
51070,NOSIP
1738,DLD
4793,NFKBIB
3416,IDE
22794,CASC3
958,CD40
9761,MLEC
2736,GLI2
9128,PRPF4
9833,MELK
23326,USP22
1616,DAXX
10972,TMED10
4088,SMAD3
10523,CHERP
5018,OXA1L
5290,PIK3CA
51375,SNX7
79090,TRAPPC6A
27032,ATP2C1
55038,CDCA4
9097,USP14
23061,TBC1D9B
991,CDC20
10513,APPBP2
6194,RPS6
64428,NARFL
1891,ECH1
11325,DDX42
3066,HDAC2
9641,IKBKE
1676,DFFA
6347,CCL2
9801,MRPL19
23038,WDTC1
23512,SUZ12
57048,PLSCR3
1459,CSNK2A2
94239,H2AFV
51203,NUSAP1
148022,TICAM1
9703,KIAA0100
388650,FAM69A
6714,SRC
10606,PAICS
652,BMP4
1017,CDK2
1906,EDN1
23039,XPO7
9813,EFCAB14
55179,FAIM
5827,PXMP2
8878,SQSTM1
3091,HIF1A
10245,TIMM17B
6813,STXBP2
7485,WRB
2109,ETFB
4331,MNAT1
3251,HPRT1
23271,CAMSAP2
9915,ARNT2
23212,RRS1
9552,SPAG7
23536,ADAT1
51282,SCAND1
93487,MAPK1IP1L
2956,MSH6
10227,MFSD10
11065,UBE2C
50813,COPS7A
9653,HS2ST1
51024,FIS1
53343,NUDT9
200081,TXLNA
1465,CSRP1
3337,DNAJB1
11073,TOPBP1
79006,METRN
23,ABCF1
6988,TCTA
5641,LGMN
11011,TLK2
5743,PTGS2
23325,KIAA1033
5321,PLA2G4A
10049,DNAJB6
4144,MAT2A
7099,TLR4
3157,HMGCS1
8720,MBTPS1
10782,ZNF274
200734,SPRED2
9053,MAP7
25932,CLIC4
1981,EIF4G1
79094,CHAC1
695,BTK
2778,GNAS
10398,MYL9
54881,TEX10
5708,PSMD2
54807,ZNF586
1213,CLTC
10320,IKZF1
323,APBB2
3028,HSD17B10
6804,STX1A
26001,RNF167
226,ALDOA
2042,EPHA3
6777,STAT5B
10190,TXNDC9
890,CCNA2
9686,VGLL4
843,CASP10
6390,SDHB
2113,ETS1
54915,YTHDF1
4303,FOXO4
23658,LSM5
7750,ZMYM2
10953,TOMM34
22889,KIAA0907
79643,CHMP6
840,CASP7
3098,HK1
9488,PIGB
11044,PAPD7
8985,PLOD3
11200,CHEK2
65057,ACD
66008,TRAK2
6832,SUPV3L1
9217,VAPB
3329,HSPD1
23131,GPATCH8
701,BUB1B
7048,TGFBR2
4851,NOTCH1
6182,MRPL12
4860,PNP
6464,SHC1
1050,CEBPA
10776,ARPP19
6253,RTN2
9491,PSMF1
7398,USP1
79716,NPEPL1
6117,RPA1
23410,SIRT3
23588,KLHDC2
29978,UBQLN2
949,SCARB1
9988,DMTF1
7168,TPM1
10845,CLPX
9375,TM9SF2
54957,TXNL4B
22926,ATF6
79170,PRR15L
4927,NUP88
10610,ST6GALNAC2
128,ADH5
2523,FUT1
51026,GOLT1B
58497,PRUNE
5498,PPOX
6856,SYPL1
26036,ZNF451
124583,CANT1
5899,RALB
9455,HOMER2
1212,CLTB
10206,TRIM13
5255,PHKA1
25793,FBXO7
5467,PPARD
54205,CYCS
9448,MAP4K4
55556,ENOSF1
6774,STAT3
9924,PAN2
3978,LIG1
5480,PPIC
1983,EIF5
10681,GNB5
2770,GNAI1
3638,INSIG1
1788,DNMT3A
56889,TM9SF3
8349,HIST2H2BE
79080,CCDC86
6275,S100A4
9016,SLC25A14
3895,KTN1
6915,TBXA2R
392,ARHGAP1
80204,FBXO11
9170,LPAR2
9709,HERPUD1
80347,COASY
116832,RPL39L
670,BPHL
